                 species,common_name,length,weight,fullness,weight_stomach_full,               prey_name,year,station,  lat,    lon,habitat
  Oncorhynchus_gorbuscha,          Pink_Adult,448,1750,100,35,                  Shrimp,1999,    UCB,58.1,-135.02, Strait
  Oncorhynchus_gorbuscha,          Pink_Adult,448,1750,100,35,              Zoeae;Crab,1999,    UCB,58.1,-135.02, Strait
      Anoplopoma_fimbria,    Sablefish_1ocean,342,500,75,28,               Pteropods,1999,    UCB,58.1,-135.02, Strait
      Anoplopoma_fimbria,    Sablefish_1ocean,342,500,75,28,                  Shrimp,1999,    UCB,58.1,-135.02, Strait
      Anoplopoma_fimbria,    Sablefish_1ocean,343,250,125,51,        Fish;Juv._Salmon,1999,    UCD,58.16,-135.04, Strait
    Oncorhynchus_kisutch,          Coho_Adult,651,3100,10,32,            Fish;Unknown,1999,    CSB,58.18,-136.48,Coastal
  Oncorhynchus_gorbuscha,          Pink_Adult,454,1000,1,11,                   Empty,1999,    CSC,58.21,-136.51,Coastal
    Oncorhynchus_kisutch,          Coho_Adult,683,3800,25,38,            Fish;Unknown,1999,    CSD,58.23,-136.54,Coastal
      Anoplopoma_fimbria,    Sablefish_1ocean,345,310,125,15,            Fish;Capelin,1999,    CSD,58.23,-136.54,Coastal
      Anoplopoma_fimbria,    Sablefish_1ocean,373,600,25,28,     Amphipods;Hyperiids,1999,    FPR,58.37,-135,Inshore
      Anoplopoma_fimbria,    Sablefish_1ocean,373,600,25,28,            Fish;Unknown,1999,    FPR,58.37,-135,Inshore
  Oncorhynchus_gorbuscha,          Pink_Adult,468,1250,10,13,           Crab_Megalops,1999,    FPR,58.37,-135,Inshore
  Oncorhynchus_gorbuscha,          Pink_Adult,498,1500,50,18,     Amphipods;Hyperiids,1999,    IPD,57.89,-137.71,Coastal
  Oncorhynchus_gorbuscha,          Pink_Adult,498,1500,50,18,             Euphausiids,1999,    IPD,57.89,-137.71,Coastal
  Oncorhynchus_gorbuscha,          Pink_Adult,498,1500,50,18,            Fish;Unknown,1999,    IPD,57.89,-137.71,Coastal
  Oncorhynchus_gorbuscha,          Pink_Adult,482,1500,25,18,     Amphipods;Hyperiids,1999,    IPD,57.89,-137.71,Coastal
  Oncorhynchus_gorbuscha,          Pink_Adult,482,1500,25,18,             Euphausiids,1999,    IPD,57.89,-137.71,Coastal
  Oncorhynchus_gorbuscha,          Pink_Adult,482,1500,25,18,    Fish;Unident._Larvae,1999,    IPD,57.89,-137.71,Coastal
  Oncorhynchus_gorbuscha,          Pink_Adult,485,1500,25,21,     Amphipods;Hyperiids,1999,    IPD,57.89,-137.71,Coastal
  Oncorhynchus_gorbuscha,          Pink_Adult,485,1500,25,21,             Euphausiids,1999,    IPD,57.89,-137.71,Coastal
  Oncorhynchus_gorbuscha,          Pink_Adult,485,1500,25,21,    Fish;Unident._Larvae,1999,    IPD,57.89,-137.71,Coastal
  Oncorhynchus_gorbuscha,          Pink_Adult,505,1600,50,18,     Amphipods;Hyperiids,1999,    IPD,57.89,-137.71,Coastal
  Oncorhynchus_gorbuscha,          Pink_Adult,505,1600,50,18,             Euphausiids,1999,    IPD,57.89,-137.71,Coastal
Oncorhynchus_tshawytscha,        Chinook_Imm.,452,1350,25,21,     Amphipods;Hyperiids,1999,    ISC,58.25,-135.44, Strait
Oncorhynchus_tshawytscha,        Chinook_Imm.,452,1350,25,21,             Cephalopods,1999,    ISC,58.25,-135.44, Strait
Oncorhynchus_tshawytscha,        Chinook_Imm.,452,1350,25,21,            Fish;Unknown,1999,    ISC,58.25,-135.44, Strait
  Oncorhynchus_gorbuscha,          Pink_Adult,485,1000,25,7,           Crab_Megalops,1999,    ISC,58.25,-135.44, Strait
  Oncorhynchus_gorbuscha,          Pink_Adult,522,1600,1,9.5,                   Empty,1999,    ISC,58.25,-135.44, Strait
      Oncorhynchus_nerka,       Sockeye_Adult,668,3750,10,16,     Amphipods;Hyperiids,1999,    ISC,58.25,-135.44, Strait
      Oncorhynchus_nerka,       Sockeye_Adult,668,3750,10,16,           Crab_Megalops,1999,    ISC,58.25,-135.44, Strait
Oncorhynchus_tshawytscha,        Chinook_Imm.,366,350,25,14,           Crab_Megalops,1999,    ISC,58.25,-135.44, Strait
Oncorhynchus_tshawytscha,        Chinook_Imm.,366,350,25,14,            Fish;Capelin,1999,    ISC,58.25,-135.44, Strait
Oncorhynchus_tshawytscha,        Chinook_Imm.,442,650,25,21,           Crab_Megalops,1999,    ISC,58.25,-135.44, Strait
Oncorhynchus_tshawytscha,        Chinook_Imm.,442,650,25,21,            Fish;Capelin,1999,    ISC,58.25,-135.44, Strait
  Oncorhynchus_gorbuscha,          Pink_Adult,533,1600,10,18,        Fish;Lanternfish,1999,    ISD,58.27,-135.4, Strait
Oncorhynchus_tshawytscha,        Chinook_Imm.,459,1300,10,21,     Amphipods;Hyperiids,1999,    ISD,58.27,-135.4, Strait
Oncorhynchus_tshawytscha,        Chinook_Imm.,459,1300,10,21,                  Shrimp,1999,    ISD,58.27,-135.4, Strait
Oncorhynchus_tshawytscha,        Chinook_Imm.,401,950,50,21,     Amphipods;Hyperiids,1999,    ISD,58.27,-135.4, Strait
Oncorhynchus_tshawytscha,        Chinook_Imm.,401,950,50,21,           Crab_Megalops,1999,    ISD,58.27,-135.4, Strait
Oncorhynchus_tshawytscha,        Chinook_Imm.,383,900,125,53,            Fish;Capelin,1999,    ISD,58.27,-135.4, Strait
  Oncorhynchus_gorbuscha,          Pink_Adult,501,1650,75,29,     Amphipods;Hyperiids,1999,    ISD,58.27,-135.4, Strait
  Oncorhynchus_gorbuscha,          Pink_Adult,501,1650,75,29,           Crab_Megalops,1999,    ISD,58.27,-135.4, Strait
  Oncorhynchus_gorbuscha,          Pink_Adult,501,1650,75,29,                  Shrimp,1999,    ISD,58.27,-135.4, Strait
  Oncorhynchus_gorbuscha,          Pink_Adult,480,1500,75,17,     Amphipods;Hyperiids,1999,    ISD,58.27,-135.4, Strait
  Oncorhynchus_gorbuscha,          Pink_Adult,464,1350,10,10,     Amphipods;Hyperiids,1999,    ISD,58.27,-135.4, Strait
  Oncorhynchus_gorbuscha,          Pink_Adult,464,1350,10,10,           Crab_Megalops,1999,    ISD,58.27,-135.4, Strait
  Oncorhynchus_gorbuscha,          Pink_Adult,498,1500,25,10.5,     Amphipods;Hyperiids,1999,    ISD,58.27,-135.4, Strait
  Oncorhynchus_gorbuscha,          Pink_Adult,498,1500,25,10.5,           Crab_Megalops,1999,    ISD,58.27,-135.4, Strait
  Oncorhynchus_gorbuscha,          Pink_Adult,498,1500,25,10.5,            Fish;Unknown,1999,    ISD,58.27,-135.4, Strait
  Oncorhynchus_gorbuscha,          Pink_Adult,505,1600,25,20,           Crab_Megalops,1999,    ISD,58.27,-135.4, Strait
      Anoplopoma_fimbria,    Sablefish_1ocean,354,445,0,14,                   Empty,1999,    LFC,58.35,-134.73,Inshore
  Oncorhynchus_gorbuscha,          Pink_Adult,502,1550,10,10,     Amphipods;Hyperiids,1999,    UCA,58.08,-135, Strait
  Oncorhynchus_gorbuscha,          Pink_Adult,439,1000,50,10,     Amphipods;Hyperiids,1999,    UCA,58.08,-135, Strait
  Oncorhynchus_gorbuscha,          Pink_Adult,439,1000,50,10,             Euphausiids,1999,    UCA,58.08,-135, Strait
  Oncorhynchus_gorbuscha,          Pink_Adult,479,1450,10,13,     Amphipods;Hyperiids,1999,    UCA,58.08,-135, Strait
  Oncorhynchus_gorbuscha,          Pink_Adult,479,1450,10,13,             Euphausiids,1999,    UCA,58.08,-135, Strait
  Oncorhynchus_gorbuscha,          Pink_Adult,427,950,75,9,     Amphipods;Hyperiids,1999,    UCA,58.08,-135, Strait
  Oncorhynchus_gorbuscha,          Pink_Adult,427,950,75,9,             Euphausiids,1999,    UCA,58.08,-135, Strait
      Anoplopoma_fimbria,    Sablefish_1ocean,375,650,125,50,                 Jellies,1999,    UCA,58.08,-135, Strait
   Theragra_chalcogramma,     Walleye_pollock,517,900,25,10,     Amphipods;Hyperiids,1999,    UCA,58.08,-135, Strait
   Theragra_chalcogramma,     Walleye_pollock,520,1000,100,11,     Amphipods;Hyperiids,1999,    UCA,58.08,-135, Strait
   Theragra_chalcogramma,     Walleye_pollock,520,1000,100,11,             Euphausiids,1999,    UCA,58.08,-135, Strait
   Theragra_chalcogramma,     Walleye_pollock,517,700,25,13,             Euphausiids,1999,    UCA,58.08,-135, Strait
   Theragra_chalcogramma,     Walleye_pollock,564,1000,100,18,     Amphipods;Hyperiids,1999,    UCA,58.08,-135, Strait
   Theragra_chalcogramma,     Walleye_pollock,564,1000,100,18,             Euphausiids,1999,    UCA,58.08,-135, Strait
   Theragra_chalcogramma,     Walleye_pollock,534,800,100,17,     Amphipods;Hyperiids,1999,    UCA,58.08,-135, Strait
   Theragra_chalcogramma,     Walleye_pollock,534,800,100,17,             Euphausiids,1999,    UCA,58.08,-135, Strait
   Theragra_chalcogramma,     Walleye_pollock,557,1000,50,15,     Amphipods;Hyperiids,1999,    UCA,58.08,-135, Strait
   Theragra_chalcogramma,     Walleye_pollock,557,1000,50,15,             Euphausiids,1999,    UCA,58.08,-135, Strait
   Theragra_chalcogramma,     Walleye_pollock,504,800,100,13.5,     Amphipods;Hyperiids,1999,    UCA,58.08,-135, Strait
   Theragra_chalcogramma,     Walleye_pollock,504,800,100,13.5,             Euphausiids,1999,    UCA,58.08,-135, Strait
      Anoplopoma_fimbria,    Sablefish_1ocean,379,500,10,12,     Amphipods;Hyperiids,1999,    UCB,58.1,-135.02, Strait
      Anoplopoma_fimbria,    Sablefish_1ocean,379,500,10,12,             Euphausiids,1999,    UCB,58.1,-135.02, Strait
      Anoplopoma_fimbria,    Sablefish_1ocean,361,550,0,14,                   Empty,1999,    UCB,58.1,-135.02, Strait
      Anoplopoma_fimbria,    Sablefish_1ocean,373,500,0,11,                   Empty,1999,    UCB,58.1,-135.02, Strait
    Oncorhynchus_kisutch,          Coho_Adult,574,2300,125,95,            Fish;Herring,1999,    UCB,58.1,-135.02, Strait
  Oncorhynchus_gorbuscha,          Pink_Adult,451,1000,10,7,     Amphipods;Hyperiids,1999,    UCB,58.1,-135.02, Strait
   Theragra_chalcogramma,     Walleye_pollock,539,1100,75,22,     Amphipods;Hyperiids,1999,    UCB,58.1,-135.02, Strait
   Theragra_chalcogramma,     Walleye_pollock,539,1100,75,22,             Euphausiids,1999,    UCB,58.1,-135.02, Strait
    Oncorhynchus_kisutch,          Coho_Adult,603,2400,0,0,                   Empty,1999,    CSA,58.16,-136.45,Coastal
    Oncorhynchus_kisutch,          Coho_Adult,570,2100,100,79,            Fish;Capelin,1999,    CSA,58.16,-136.45,Coastal
    Oncorhynchus_kisutch,          Coho_Adult,570,2100,100,79,        Fish;Juv._Salmon,1999,    CSA,58.16,-136.45,Coastal
    Oncorhynchus_kisutch,          Coho_Adult,570,2100,100,79,            Fish;Unknown,1999,    CSA,58.16,-136.45,Coastal
    Oncorhynchus_kisutch,          Coho_Adult,570,2100,100,79,                  Shrimp,1999,    CSA,58.16,-136.45,Coastal
   Theragra_chalcogramma,     Walleye_pollock,499,560,0,0,                   Empty,1999,    FPR,58.37,-135,Inshore
    Oncorhynchus_kisutch,          Coho_Adult,780,6100,10,39,          Fish;Sandlance,1999,    IPA,58.34,-137.12,Coastal
    Oncorhynchus_kisutch,          Coho_Adult,780,6100,10,39,               Pteropods,1999,    IPA,58.34,-137.12,Coastal
    Oncorhynchus_kisutch,          Coho_Adult,612,2900,0,0,                   Empty,1999,    ISA,58.22,-135.53, Strait
   Theragra_chalcogramma,     Walleye_pollock,386,350,0,0,                   Empty,1999,    ISA,58.22,-135.53, Strait
   Theragra_chalcogramma,     Walleye_pollock,545,1075,100,31,            Fish;Capelin,1999,    ISB,58.24,-135.49, Strait
   Theragra_chalcogramma,     Walleye_pollock,502,700,0,24,                   Empty,1999,    ISC,58.25,-135.44, Strait
   Theragra_chalcogramma,     Walleye_pollock,522,700,75,10,     Amphipods;Hyperiids,1999,    ISC,58.25,-135.44, Strait
